CONTACT,PHONE_NEW,ADDRESS_NEW,CITY,STATE,ZIP
,(422) 836-7593,cra 32a # 1 a sur 69 of:502,medellin,an,2
Stacy Chinn,(415) 194-9465,36 North Michigan Avenue,Chicago,IL,60611
Jonah Goldschmidt,(958) 644-0940,5 Broadway,New York,NY,10018
Seb Vachon,(482) 270-7256,54 Charest est,Qu#bec,Qc,G1x 2l7
Aida Alegria,(870) 783-3673,"6 4th Ave., Ste 308",Seattle,WA,98101
Joe Gentry,(749) 839-5823,25 North Trenholm Road,Columbia,SC,29206
Robert Mitcham,(260) 756-2558,86 Macon Drive D8,Little Rock,AR,72211
Paul House,(721) 122-3283,11 Sinclair Road,Oakville,ON,L6K 2
Michael  Rossi,(208) 958-5439,80 Pine Avenue,Manhattan Beach,Ca,90266
Lance Utterback,(678) 589-3799,12 W. Northwest Highway,Dallas,TX,75220
Susan Clark,(412) 564-7510,11 Carmel Commons Blvd,Charlotte,NC,28226
Cherry Lethcoe,(765) 113-3229,57 Grapevine Highway,Hurst,TX,76154
W. Lee Koetzle,(962) 838-2270,92 Chester Rd,Cincinnati,OH,45215
"Stephanie Kinsey-O'Neal",(221) 134-4119,13 W. Pennsylvania Ave,Baltimore,MD,21204
Ken Boyer,(596) 698-8371,56 Bayonet Street,New London,CT,06320
John Hyland,(691) 156-2825,35 WICKER AVE,ST. JOHN,IN,46373
stacy  turner,(876) 695-8106,59 toto creek drive east,dawsonville,ga,30534
Charles Ehlers,(904) 923-4716,65 San Jacinto,Dallas,TX,75214
Miguel Urio,(311) 892-1076,Tokyo-to Bunkyo 10-14-25,Tokyo,---,-------
Robert Israel,(505) 449-2022,26 West Crest Street,Escondido,CA,92025
Barry Citrin,(697) 357-4473,83 Martine Avenue,White Plains,NY,10606
Phil Hickman,(976) 174-6748,33 W Bluemount,Brookfield,WI,53005
J Struble,(391) 330-9878,21 Lbj Freeway 900,Dallas,TX,75229
Linda L. Burzynski,(775) 606-9077,94 Eisenhower Pl.,Ann Arbor,MI,48108
Mark Pi,(533) 584-7168,42 Brown Park Dr.,Hilliard,OH,43026
Donald Metzner,(566) 175-1265,32 Central Ave,Albany,NY,12205-3504
Tom Sanchez,(628) 775-5171,38Von Karmen,Irvine,CA,92612
Robert Howell,(268) 494-5212,69 Main Street,Allenhurst,NJ,07711
Danielle Roselli,(882) 347-2400,98 Shunpike Road,Chatham,NJ,07928
,(870) 132-5910,66 Airport Road,Roanoke,VA,24012
Gary Whipple,(575) 924-1462,42 East 59th Street,Long Beach,CA,90805
,(502) 500-1893,"13 Louisiana, Suite 500",Houston,TX,77002
Danielle Johnson,(487) 857-6153,25 N Dalemabry highway,Tampa,FL,33620
Lee Thomas,(247) 610-4704,72 Douglas Avenue,Altamonte Springs,FL,32714
Charles Loccisano,(907) 440-3421,96 Seaview Avenue,Secaucus,NJ,07094
,(629) 867-0098,31 Airport,Burlingame,CA,94010
Pam DuBois,(500) 290-5888,4 Connecticut Avenue NW,Washington,DC,20036
Kevin Regan,(295) 610-1989,59 N. Central Expwy.,Dallas,TX,75231
Russel Beron,(955) 466-3818,31 Eglinton Avenue East,Toronto,On,M4P 3A1
Edward Rosenberg,(234) 327-9868,78 Larkfield Road,East Northport,NY,11731
Tommy DeMarti,(489) 864-2788,61A Emigrant Way,Chico,CA,95928
Robert Berkwitz,(660) 419-1366,Carlson Parkway,Minneapolis,MN,55459
Ed Middleton,(592) 645-1754,,,,
Sam Pack,(727) 580-9694,6 N Interstate 35E,Carrollton,TX,75006
Joe Duncan,(624) 349-1867,95 Steck Ave 100,Austin,TX,78757
Gordon Bruner,(434) 797-5571,Rehn Hall Suite 95,Carbondale,IL,62901
Mike Ponder,(632) 607-7837,"16 Commerce Park Dr., Suite L",Ridgeland,MS,39157
Reed Tricket,(692) 296-9497,18 Gallatin Rd N,Madison,TN,37115
John Schneider,(847) 447-8705,66 E. 12th Street,Tucson,AZ,85711
marion fong,(860) 933-2746,4 South Figueroa Street,los angeles,ca,90017
Mike Musto,(378) 587-2525,13 Bond Avenue,Clearwater,FL,33759
Billy Alder,(735) 566-1940,"23 N. Central Expressway, #500",Dallas,TX,75231
Kimberly Hardcastle,(900) 368-5763,80 W. gum St.,Rogers,AR,72756
,(584) 172-5490,78 Lincoln Park Boulevard,Dayton,OH,45429
Janet Marsh,(654) 952-4022,30-B S. Capital Texas Hwy,Austin,TX,78746
Ken Wilhelm,(555) 295-0545,52 Georgia Ave,Olney,MD,20832-2267
Lynne Roach,(709) 318-3684,52 Fernwood Road,Bethesda,,20817
Lisa Mayo-DeRiso,(489) 712-4733,10 Darby Ave,Las Vegas,NV,89117
,(847) 866-1650,75 Pinehollow Drive,Ballston Spa,NY,12020
Robin Smith,(391) 894-0878,86 Commerce Tower,Irving,TX,75062-3932
Peter Koestenblatt,(316) 457-5342,69 Third Ave 8th floor,new york,NY,10017
"Mr. Bob O'Donoghue",(339) 349-0113,28 Light Street,Baltimore,MD,21202
Scott Hendee,(977) 333-2206,3 E Riverside Blvd,Rockford,IL,61114
Brian Bonipart,(876) 307-0743,35 112th Avenue Ne 300,Bellevue,WA,98004
Tammy Kennedy,(891) 854-2260,90 N. Barstow Street,Waukesha,WI,53187
John Perciful,(504) 311-6000,"9 Papa John's Blvd.",Louisville,KY,40269
Donald Golliher,(596) 899-1976,35 Roosevelt Blvd,Clearwater,FL,33760
Sean Mccann,(221) 821-4686,5 NE Lachenview LN,Fairview,OR,97024
ron  bott,(479) 766-2795,63 park street,columbus,oh,43215
Anthony Valdes,(439) 219-1524,60 hardisty ave.,Cincinnati,oh,45208
William Mauldin,(888) 880-2067,"20 N East St, 16th Floor",Greensboro,GA,30642-1313
Debbie Funderburk,(819) 616-6934,74 Fifth ave # C,san diego,ca,92103
Laurie Nova,(649) 661-8226,77 Needham Street,Newton,MA,2164
Richard Denby,(609) 101-1156,Room 33 FB-3,Washington,DC,20233-8500
Barry Driedger,(484) 297-0601,81 Yorkland Blvd.,Toronto,ON,M2J 4
Heather Visser,(273) 222-0236,PO Box 61,Johannesburg  2194,,
Andy Nesse,(587) 162-7649,51 117th dr se,lake stevens,wa,98258
,(995) 514-7683,,Toronto,Ont,
jack khorsandi,(544) 590-0129,41 N. Hillcrest Ave.,La,CA,90210
Michael Bodnar,(545) 693-8608,83 Elm Hill Pike,Nashville,TN,37210
,(961) 561-2688,72 Brook Lake,Dallas,TX,75248
Jamie Britton,(766) 986-0033,72 Harvard Ln,Boulder,CO,80305
,(348) 967-9742,san marcos,san marcos,tx,78666
Laura Weins,(378) 330-2865,38 Poplar Ave,Memphis,TN,38157
Paul Stern,(239) 218-7837,15 Montgomery Avenue,Bethesda,MD,20814
Joann Little,(661) 544-2442,26 Cambell Pl,Camden,NJ,08103
Lorin Partain,(388) 688-7494,34 Winding Ln.,Antioch,CA,94509
Jeff Rodgers,(360) 404-7151,55 Wilshire Blvd,Los Angeles,CA,90010
Joe Francica,(453) 321-3318,43 Leafmore Dr.,Huntsville,AL,35803-3641
,(932) 916-5799,"20 S. Jefferson, 6 th Floor","Saginaw,",MI,48607
Sonny Walker,(334) 118-0856,30 Preacher Roe,West Plains,MO,65775
Fran Hamilton,(981) 662-3478,8 N. Martingale Rd.,Schaumburg,IL,60173
Hillary La Manna,(980) 782-9402,9 Champion Forest Drive,Houston,TX,77069
Bruce Potter,(405) 388-0441,"91 East Broad Street, 4th Floor",Richmond,VA,23293
Steve Marcus,(225) 911-1426,75 E. Wisconsin Avenue,Milwaukee,WI,53202
John von Seggern,(519) 151-9212,7 Twenty-Third Street NW,Washington,DC,20037-1174
Craig Ryason,(849) 474-8385,69 Walnut Hill Lane,Irving,TX,75038
Bruce Seidman,(541) 705-2611,39 Stevenson Road,Stevenson,MD,21153
Marcey Shelton,(243) 182-5547,27 Laurel,Beaumont,TX,77702
Salvatore  Abate,(942) 602-2878,67 North High Street,Columbus,OH,43235
Kenneth A. Ross,(642) 246-1269,77 N. Green Valley Parkway,Henderson,NV,89014
Dennis McCoy,(605) 779-0036,P.O. Box 15,Hickory,NC,28603
Donna Fisher,(774) 944-9412,86 Montlimar Drive,Mobile,AL,36609
,(965) 888-0709,58 e. harmony rd.,ft. collins,co,80528
Maya  Jedlicka,(487) 504-5261,27 Village Bend #416,Dallas,TX,75206
Jerry Josephson,(703) 635-3412,27 Senlac Drive,Carrollton,TX,75006
Peter Franetovich,(723) 467-9192,6 Oakbrook Drive,Norcross,GA,30093
Jeff  Ball,(526) 194-5949,12 S Washington,Naperville,IL,60540
Matthew Ricksgers,(388) 378-9656,85 Cumberland Cirlce Suite 1850,Atlanta,GA,30339
Zimmer Chantel,(800) 921-6466,"30, rue de la Boetie",75008 Paris,,
Tess Alvey,(558) 981-5066,49 Irvine Blvd,Tustin,CA,92780
Don Landry,(918) 605-8460,55 Columbia Pike,Silver Spring,MD,20901
Richard Hall,(968) 525-1393,49 Bering Dr.  3,Houston,TX,77057
michael mcguire,(918) 817-0860,63 brownsboro rd,louisville,ky,40207
Jonathan  Kuo,(907) 857-8034,55 Wilshire Blvd. # 1900,Los Angeles,CA,90017
,(878) 627-9833,42 Rivertree Dr.,Oceanside,CA,92054
Sarah Roper,(945) 171-5635,"99 Stemmons, Suite 1350",Dallas,TX,75207
Valena Wheat,(812) 912-3444,34 S 1st,Lufkin,TX,75901
Jennifer Wright,(529) 100-2196,"17 Harrison Street, 8th Flr.",Oakland,CA,94612
Andrew Degenholtz,(769) 607-0481,70 West Iomega Way,Roy,UT,84067
Mark Gibson,(306) 334-4854,47 Times Square,New York,NY,10036
Philip H. Geier Jr.,(532) 814-5301,35 Sixth Ave.,New York,NY,10020
Colin Matthews,(882) 769-8926,58 North Lewis Road,Limerick,PA,19468
andreas ditlev,(517) 398-7852,66 corbett,san francisco,ca,94131
Iavor Marinov,(603) 313-9738,84 Deltona blvd.,DELTONA,Fl,32725
Jim Gambacorta,(487) 608-1425,PO Box 13,New Castle,DE,19720-0008
,(956) 987-4798,66 N. Stone #800,Tucson,AZ,85701
Marty Martinez,(467) 804-7761,"93 Central Drive, Suite 305",Bedford,TX,76021
Anthony Patterson,(963) 775-9116,82 Mohawk Drive,Florence,SC,29501
Devon Cyr,(456) 567-9790,74-K Golden Horseshoe Circle,Morrisville,NC,27560
andy cote,(468) 128-5471,56 w. diversey ave,chicago,il,60639
Wayne Whetman,(355) 446-2505,47 South State Street,Midvale,UT,84047
Chris Huffman,(307) 352-7022,36 CR 438,Water Valley,MS,38965
Ron Faltinsky,(411) 962-5056,26 W. Oakmont Dr.,Montebello,CA,90640
,(428) 906-3036,65 East Wisconsin Avenue,Milwaukee,wi,53202
,(354) 313-1733,93 Coral Club Dr.,Coral Springs,FL,33071
Thad Chambers,(940) 234-2289,63 Diana Drive,Richland Hills,TX,76118
Martin Goldstein,(549) 420-0310,71 B Street,Needham,MA,02194
DENISE DHEIN,(848) 593-2458,24 S TAYLOR DR,SHEBOYGAN,WI,53082-0058
Manny Licitra,(407) 690-9308,8 5th Ave,Brooklyn,NY,11220-4914
Oscar Davila,(491) 761-6094,98 Broadway,Chula Vista,CA,91911
Ed Soehnel,(939) 893-9603,P.O. Box 1,Alta Loma,CA,91701
Martin Kyle,(983) 747-1807,72 Canada Way,Burnaby,BC,V5G 4H7
Darlene M Minnick,(564) 208-7909,23 Madison Ave,Toledo,OH,43604
Tania Zlatoff-Mirsk,(729) 126-3182,74 N. Lake Shore Dr.,Chicago,IL,60611
"James Austin, Jr.",(218) 282-4231,7 East Mason,Fort Worth,TX,76110
Charles Leaness,(956) 520-1421,60 Broadway,New York,NY,10003
Tim Coyle,(883) 312-2951,73 West Maple Avenue,Sioux Falls,SD,57107
Yumiko Chiba,(737) 696-0048,"17-33 Toyotsu-cho, Suita-Shi",Osaka  564-0051,,
Stephen Marder,(421) 763-6969,40 East Superior Street Duluth technolog,Duluth,MN,55802
Daniel Harvey,(424) 991-7935,10 Decarie Boulevard,Montreal,PQ,H4P 2
Greg Kirsch,(748) 275-2186,86 West Chicago Ave.,Chicago,IL,60622
Jim Drysdale,(677) 180-0055,61 Bessemer Super Hwy,Bessemer,AL,35020
Steven Juda,(629) 227-5075,59 Main St.,Hartford,CT,60102
,(879) 137-9797,35 City Park Avenue,New Orleans,LA,70119-3736
Marc Bertone,(758) 806-8100,19 Pomona Blvd.,Pomona,CA,91768
Cottle Robert,(258) 321-8217,89 Peachtree Street NE,Atlanta,GA,30309
David Flower,(714) 816-7684,Minton Place,"Windsor, Berkshire",,SL4 1EG
Scotty Wells,(853) 223-7457,42 U. S. Highway 98,Fairhope,AL,36532
Emily  Yuan,(699) 935-8304,92 N Sunset Drive,Wiinston Salem,NC,27101
Michelle Green,(606) 963-1359,82 Reitz Avenue,Baton Rouge,LA,70809-3802
Robynne Gow,(306) 520-7953,81-C N. Walnut Creek Drive,Mansfield,TX,76063
Brad Koch,(569) 695-9791,39 Montgomery Street 1310,San Francisco,CA,94010
Bill Minadeo,(653) 822-8265,43 Piedmont Rd.,Columbus,OH,43214
James M. Bond,(988) 828-4851,"79 Dunsmuir Street, Ste. 230","Vancouver, BC  V7X 1",,
James  Teal,(896) 428-7210,28 Hackberry Street,Tilden,TX,78072-0341
Randy Meissner,(813) 515-0775,,Phoenix,AZ,
Steve Lowrey,(927) 658-6798,34 Glenborough Drive,Houston,TX,77067
Chris Von Ancken,(358) 275-9502,58 Park Ave,New York,NY,10166
Jim Walters,(494) 526-3086,10 Thorne Drive,La Mesa,CA,91941
Dawn Sepulveda,(611) 825-2911,"8 Richmond Street, Suite 201",Providence,RI,02903
Tom Bell,(885) 417-5163,99 S Memorial Dr,Tulsa,OK,74133
,(985) 728-8146,46 Third Ave,New Brighton,PA,15066
Vickie May,(567) 313-1388,97 South Tyron Street,Charlotte,NC,28281
thomas andolfo,(573) 576-0922,38 weybosset street,providence,ri,02903
wendy rose,(338) 177-4961,17 dino drive,ann arbor,mi,48103
David Faulkner,(520) 289-4613,One Stiles Road,Salem,NH,03079
Ryan Clayton,(765) 718-9285,51 Baxter Street,Charlotte,NC,28202
Ernesto Elizondo,(506) 343-7400,P.O. Box 27,Laredo,TX,78044
Joe Dunnigan,(929) 807-1948,34 N Central Ave,Phoenix,AZ,85019
Bill Young,(532) 101-9625,17 N Apple Valley Rd,Greenwood,IIN IN,46142-5017
Terry Ryfa,(649) 996-6877,"44 Kent St., #102",Ballston Spa,NY,12866
Art Savard,(737) 882-1917,50 University Drive,Coral Springs,FL,33071
Lynn Gibson,(590) 996-8844,87 Bush Street,San Francisco,CA,94104
John Hynek,(387) 230-1298,7 E. 86th. Avenue,Merrillville,IN,46410
,(743) 956-4950,P.O. Box 10,Gainesville,VA,20156
Jerry Puiia,(825) 263-4862,79-A John Fitch Blvd.,S. Windsor,CT,06074
Lorenza,(723) 857-1249,90 Sierra Avenue,Fontana,CA,92335
Thomas Huegel,(247) 805-5226,16 Village Center,Las Vegas,NV,89134
Dave Simmons,(304) 104-1340,,San Antonio,TX,
Henry Sanel,(340) 575-8482,48 Manchester St.,Concord,NH,03301
Domnick Tozzo,(854) 259-5536,49 Bloomfield Ave,Bloomfield,NJ,07003-4899
farid ahmad,(430) 515-8115,Jl. Ir. H. Juanda,Jakarta,0062,15148
Bruce Black,(513) 803-5024,53 Bowden St.,Douglasville,GA,30134
Warren Lewis,(230) 303-5272,"65 18th Street, NW",Washington,DC,20036-3816
Claus Thiles,(312) 623-2624,"36 S 86TH CIR, P.O. Box 27347",Omaha,NE,68127-0347
Michael Bauer,(210) 464-3473,5 W. College Ave.,Appleton,WI,54914-2910
Jose Merille,(319) 660-6127,47 West Flagler Street,Miami,FL,33134
James McCracken,(547) 618-0906,Level 5 / 461 Bourke St.,Melbourne  300,,
Alison Owen,(570) 976-5973,8 Brickell Ave,Miami,FL,33131-2804
Mike Lowry,(978) 279-4750,43 E. Main Street,Richmond,VA,23219
George Russel,(676) 624-0689,27 Buena Vista St,Ayer,MA,01432
Michael Smith,(262) 239-1964,P.O.Box 48,Las Vegas,NV,89193
Donna Ward,(910) 748-7270,P.O. Box 57,Madisonville,LA,70447-1350
,(717) 659-1833,99 E. Chiddingstone Lane #B,Orange,CA,92869
Roberta Masetick,(874) 443-8415,83 W 111th St,Worth,IL,60482-0940
Charles Bernstein,(483) 357-1790,"4 Patten Avenue, Apt. 8",Long Branch,NJ,07740 7854
Troy martin,(899) 916-3799,51 w. sahara av,las vegas,nv,89260
Robin Traficanti,(288) 354-1389,49 Las Vegas Blvd. 50,Las Vegas,NV,89109
Toni Friedman,(893) 600-5568,9 Bollinger Canyon Road,San Ramon,ca,94583
Bob White,(998) 958-9915,,,,
Jeff Hearn,(602) 695-5068,18 Hiernia Street,Dallas,TX,75204
Hanna S,(695) 370-4149,-,-,-,04740
Tom Kellogg,(904) 266-7008,1 106 Ave. Ne #660,Bellevue,WA,98004
,(505) 986-1494,90 East Kaliste Saloom Rd.,Lafayette,La,70508
Michael Rogers,(396) 604-2011,20 W San Fernando St.,San Jose,CA,95113-2413
Michelle Garner,(703) 190-6079,41 O Street Suite 200,Lincoln,NE,68508
Denise Everhart,(264) 831-1537,46 Interstate North Pkwy,Atlanta,GA,30339
Louise Goede,(405) 690-4116,47 W Nassau St,St. Peter,MN,56082-2093
Phil Darr,(379) 892-0263,39 South Naperville Rd.,Wheaton,IL,60187
elisha reverby,(820) 263-0717,87 carroll street,"brooklyn,ny",ny,11231
Tom Skahen,(819) 884-4873,45 Crocker Drive,Westford,MA,01886
Brian Heffernan,(723) 766-0828,67 Great America Pkwy. #219,Santa Clara,CA,95054
Howard Doolilttle,(489) 773-8306,29 Elk Parkway,San Francisco,Ca,94132
Chip Pressman,(596) 309-0216,90 Spruce Street,Philadelphia,PA,19107
JoAnn Ray,(265) 630-6652,84 W Jefferson,Effingham,IL,62401
m eberhart,(487) 679-8461,"one credit union place, suite 57",harrisburg,pa,17110
Dan Dagesse,(899) 656-6617,PO Box A,Gorham,NH,03581-0307
Mike Rolf,(754) 890-3807,"94 W. 13th Street, Suite 230",Fort Worth,TX,76102
Lynn Zolkosky,(809) 261-0265,42 Old Dixie Highway,Forest Park,GA,30297
,(574) 336-2339,P.O. Box 4,Spring,TX,77387-8759
Richard P. Dupuis,(316) 302-7701,P.O. Box 85,Lafayette,LA,
David Michael,(775) 580-4754,75 Beltway Dr.,Dallas,TX,75001
Frank  Owens,(536) 123-1313,65 Thompson Place,Larchmont,NY,10538
Kirk Searcy,(334) 212-6205,"96 West Eighth Street, Suite 300",Fort Worth,TX,76102
David Mettee,(215) 812-5022,27 Madison Avenue,New York,NY,10010
Todd Smith,(902) 164-2883,72 West Todd Drive,Tempe,AZ,85283
,(449) 326-1913,16 West Broadway,Council Bluffs,IA,51503
Keola Childs,(231) 341-3773,89-5648c Mamalahoa Hwy.,Holualoa,HI,
Donna Boetticher,(550) 901-1768,82 Americana Parkway,Reynoldsburg,OH,43068
Connie Rogers,(938) 701-4420,27 Seabright Ave #105,Santa Cruz,Ca,95062
Gail Fisher,(914) 342-5287,10 Michigan Ave,Dearborn,MI,48126
Laura Woolard,(336) 256-0925,72 W. Fox Ridge Lane,Muncie,IN,47304
Tom Gaillard,(380) 188-4955,41 Greenpoint Drive,Greensboro,NC,27410
Chris Davis,(463) 327-8119,,Denver,CO,
Robert Bowers,(435) 603-2342,PO Box 14,Leederville,WA,6902
Bill Horner,(259) 641-2305,"8 Bayview, Suite 2060",Newport Beach,CA,92660
Vicki McDonald,(881) 699-0261,33 Oxnard St.,Woodland Hills,CA,91367
Bartley Green,(570) 287-2884,,San Francisco,CA,
Christopher  Wagner,(528) 820-5891,86 SE 5th Terrace,Pompano Beach,FL,33060
Sheila Crowley,(236) 378-5311,75 calif. st,San Francisco,CA,94104
Joanne Johnson,(684) 235-4442,65 Plaza,Madill,OK,73446
Berney Poole,(608) 945-3807,Schoolhouse Rd.,Johnstown,PA,15904
Donald Cheng,(668) 871-2733,61 Grand Street #303,New York,NY,10002
Mark Boyd,(828) 912-1328,96 Ogden Ave,Downers Grove,IL,60515
John Heffner,(766) 754-9320,6 Lackland Rd.,St. Louis,MO,63146
Gary Graham,(389) 194-4450,87 Trade Place,San Diego,CA,92121
Don Harris,(917) 309-9291,"33 Piedmont Rd, #101",Atlanta,GA,30305
John Shehadey,(779) 119-5875,3 N Palm Ave,Fresno,CA,93701
Jane A Shaw,(419) 702-3172,55 Dolson Ave,Middletown,NY,10940-5010
Scott Kennedy,(248) 466-1078,"51 Congress Avenue, Suite 2100",Austin,TX,78701
Andrew Maple,(628) 118-5123,44 Castilian Drive,Santa Barbara,CA,93117
Jerry Averyt,(543) 815-2079,95 LBJ Freeway,Dallas,TX,75240
Kenneth Bobkoff,(273) 283-2375,39 Willow Lane,Dallas,TX,75230
Richard Bell,(646) 979-0448,,,,
Mark Davidson,(242) 751-1797,"37 S. Bowen Rd., Suite 325",Arlington,TX,76013
John Woodman,(393) 557-1357,45 Mystic Lane,Foster City,CA,94404
George Schlemeyer,(887) 724-3767,65 Oakwood,Arlington,TX,76012
Katumi Minamino,(821) 779-2757,Toshiba Osaka Bldg.,Cyuoh-KU,Os,aka
David James,(444) 863-3264,1 N. Buffalo Drive,Las Vegas,NV,89129
Melissa Peterson,(311) 947-0309,P.O. Box 2,Beloit,WI,53512
Doug Fernlock,(206) 912-2086,88 Waters Bldg.,Grand Rapids,MI,49503
Maggie Dillman,(310) 223-2794,62 East Fifth Street,Cincinnati,OH,45202
Mike Katila,(529) 555-4666,86 Valota Road,Redwood City,CA,94061
Denise Turke,(254) 193-0908,One Beacon St,Boston,MA,2108
Jose  Castro,(944) 548-9878,17 Joyce Kilmer Ave,New Brunswick,NJ,08903
Catherine Dong,(781) 335-7089,P.O. Box 50,Dallas,TX,75258
John Hoyes,(357) 464-8069,P.O. Box 58,Waco,TX,76707
Yancy Douris,(422) 517-2848,13 Route 13,Levittown,PA,19057
Brian Riendeau,(546) 337-1374,51 Gardiner Lane,Louisville,KY,40232
Tracy Morgan Grover,(992) 615-5130,41 N. Riverpoint Blvd.,Spokane,WA,99202
Kathleen Berta,(883) 362-5482,30 Superior Ave.,Cleveland,OH,44114
Alan Stephenson,(697) 109-6152,33 W. Washington,Phoenix,AZ,85003-1611
Steven J Onken,(223) 961-4478,23 North Broadway,Wichita,KS,67202
Frederick W. Smith,(571) 560-5545,97 S. Shady Grove Rd.,Memphis,TN,38120
Gaddis  Faulcon,(566) 918-2580,87 Eaton Road,Kittrell,NC,27544
Francisco Otero,(575) 111-6041,BMS 11 8357 West Flag,Miami,Florida,33144
Neil Foote,(330) 305-0084,42 S. Record Street,Dallas,TX,75202
Wendy Arnon,(727) 378-7146,52 West 42nd Street,New York,New,10036-7440
Mike Berube,(831) 173-3317,67 S. El Camino,San Mateo,CA,94402
Jim Kelly,(781) 426-7567,62 Mormon Trek Blvd,Iowa City,IA,52246
John Shannon,(695) 832-1792,"34 Springhill Road, Suite 400",McLean,VA,22102
